SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"CDSL","1,350.00","1,350.00","1,341.10","1,340.00","1,345.10","-","5.1","0.38","65001","8.74","1,673.70","1,116.30","-0.78","-14.78"
"ADANIPOWER","211.00","211.33","210.01","209.95","210.72","-","0.77","0.37","870453","18.35","254.20","110.45","-5.34","-64.05"
"INDHOTEL","752.00","752.70","745.25","750.00","752.70","-","2.7","0.36","98139","7.36","811.95","565.00","2.94","0.16"
"BAJAJFINSV","2,105.00","2,115.90","2,089.20","2,105.00","2,112.60","-","7.6","0.36","89281","18.79","2,195.00","1,597.00","11.05","8.86"
"ALKEM","5,620.50","5,661.50","5,616.50","5,608.00","5,627.00","-","19","0.34","3215","1.81","5,933.50","4,738.50","0.82","14.39"
"TECHM","1,663.00","1,663.00","1,651.00","1,648.50","1,654.10","-","5.6","0.34","92842","15.37","1,854.00","1,304.10","16.91","11.76"
"LTM","4,589.00","4,602.20","4,565.00","4,559.00","4,572.20","-","13.2","0.29","13631","6.24","6,429.50","3,528.00","21.32","0"
"ADANIENSOL","1,663.80","1,663.80","1,643.50","1,646.00","1,650.70","-","4.7","0.29","63188","10.44","1,789.00","744.90","4.92","105.87"
"BAJAJ-AUTO","11,665.00","11,665.00","11,584.00","11,600.00","11,632.00","-","32","0.28","12701","14.77","11,856.00","7,858.50","18.54","41.68"
"RELIANCE","1,293.00","1,299.00","1,292.50","1,290.90","1,294.50","-","3.6","0.28","837288","108.39","1,611.80","1,249.80","-1","-8.54"
"JSWENERGY","570.50","572.00","569.05","568.00","569.55","-","1.55","0.27","23799","1.36","617.35","427.75","3.24","5.62"
"MANKIND","2,461.00","2,461.00","2,443.20","2,438.00","2,444.30","-","6.3","0.26","9576","2.35","2,674.00","1,909.70","-3.58","-7.26"
"TATASTEEL","192.25","192.34","190.81","190.95","191.40","-","0.45","0.24","891304","17.08","224.40","153.05","0.61","19.67"
"AMBER","7,452.00","7,452.00","7,401.00","7,395.00","7,413.00","-","18","0.24","6043","4.49","8,974.00","5,400.50","-1.2","-7.1"
"IDEA","12.91","12.95","12.83","12.90","12.93","-","0.03","0.23","20340471","26.26","15.34","6.12","-9.47","88.6"
