"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 04-Aug-2026","1W AGO 
 29-Jul-2026","1M AGO 
 03-Jul-2026","1Y AGO 
 04-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY200 QUALITY 30","20,816.60","-0.18","20,912.45","20,912.45","20,807.05","-","20,853.35","20,853.35","20,669.05","19,970.90","20,318.40","-","-",4.23,2.74
"NIFTY ALPHA LOW-VOLATILITY 30","27,502.40","-0.51","27,717.95","27,718.10","27,501.15","-","27,642.70","27,642.70","27,277.80","26,743.20","26,261.85","-","-",2.84,5.03
"NIFTY200 MOMENTUM 30","31,022.70","0.14","31,145.90","31,148.60","30,983.70","-","30,978.05","30,978.05","30,201.35","30,507.85","30,233.20","-","-",1.69,2.79
"NIFTY MIDCAP150 QUALITY 50","24,782.05","0.22","24,860.55","24,860.55","24,778.75","-","24,727.90","24,727.90","24,439.90","23,967.30","24,313.15","-","-",3.4,2.08
"NIFTY200 ALPHA 30","26,633.05","0.37","26,697.35","26,697.35","26,576.45","-","26,533.70","26,533.70","25,951.90","26,102.70","24,850.90","-","-",2.03,7.54
"NIFTY MIDCAP150 MOMENTUM 50","63,710.30","0.01","63,998.35","63,998.35","63,679.45","-","63,701.90","63,701.90","62,492.00","62,276.80","61,124.15","-","-",2.3,4.25
"NIFTY500 MOMENTUM 50","54,443.35","0.28","54,621.80","54,621.80","54,346.70","-","54,291.15","54,291.15","52,785.40","52,952.40","51,773.55","-","-",2.82,5.1
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","51,609.90","0.27","51,746.30","51,746.30","51,550.75","-","51,470.75","51,470.75","50,809.80","50,405.80","48,544.35","-","-",2.39,6.46
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,053.55","0.93","47,900.65","48,061.15","47,861.45","-","47,610.90","47,610.90","47,185.65","47,097.80","45,467.75","-","-",2.03,5.68
"NIFTY TOP 10 EQUAL WEIGHT","8,802.45","0.07","8,819.65","8,824.55","8,801.35","-","8,796.50","8,796.50","8,704.75","8,623.40","9,458.70","-","-",2.08,-6.58
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,266.80","-0.38","23,408.70","23,408.70","23,262.35","-","23,355.70","23,355.70","23,222.30","22,941.60","22,101.60","-","-",1.42,5.81
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,594.20","-0.34","20,717.80","20,717.80","20,593.20","-","20,665.15","20,665.15","20,501.90","20,233.30","20,342.70","-","-",1.78,1.67
"NIFTY HIGH BETA 50","4,517.10","0.94","4,503.10","4,517.40","4,491.55","-","4,475.10","4,475.10","4,431.05","4,392.50","3,663.80","-","-",2.84,23.61
"NIFTY LOW VOLATILITY 50","25,234.10","-0.10","25,344.00","25,344.00","25,232.80","-","25,260.55","25,260.55","25,056.20","24,642.70","24,694.35","-","-",2.4,2.49
"NIFTY QUALITY LOW-VOLATILITY 30","16,996.55","-0.51","17,102.25","17,102.25","16,995.35","-","17,083.70","17,083.70","16,956.00","16,514.80","16,929.85","-","-",2.92,0.81
"NIFTY SMALLCAP250 QUALITY 50","25,787.70","0.66","25,770.00","25,808.70","25,737.20","-","25,619.55","25,619.55","25,500.30","25,155.65","26,973.80","-","-",2.51,-3.92
"NIFTY TOP 15 EQUAL WEIGHT","10,086.70","0.22","10,092.15","10,093.25","10,074.10","-","10,064.60","10,064.60","9,866.20","9,834.30","10,097.25","-","-",2.57,-0.03
"NIFTY100 ALPHA 30","18,386.75","0.43","18,416.95","18,417.25","18,330.70","-","18,308.45","18,308.45","17,884.80","18,082.70","18,114.15","-","-",1.68,1.64
"NIFTY200 VALUE 30","15,304.10","0.35","15,326.60","15,327.90","15,277.65","-","15,250.45","15,250.45","15,058.00","15,162.40","12,761.35","-","-",0.93,19.96
"NIFTY500 EQUAL WEIGHT","15,206.05","0.54","15,204.35","15,211.85","15,176.10","-","15,123.65","15,123.65","14,949.20","14,898.15","14,177.60","-","-",2.07,7.5
